LRL2-C=0.01	LRL2-C=0.1	LRL2-C=1	LRL2-C=10	LRL2-C=100
2	2	0	0	1
2	2	0	0	0
2	0	0	0	0
2	0	0	0	0
2	0	2	1	1
2	2	0	0	0
2	2	0	0	0
2	2	0	0	0
2	2	2	2	2
0	0	0	0	0
0	0	0	0	0
2	2	0	0	0
2	2	2	0	0
2	1	1	1	1
2	0	0	0	0
2	1	1	1	1
2	2	2	2	2
2	2	2	1	1
2	2	1	1	1
2	2	0	0	0
2	0	0	0	0
2	2	2	2	2
2	2	1	1	1
2	1	1	1	1
2	1	1	1	1
2	2	1	1	1
2	2	0	0	0
2	1	1	1	1
2	2	2	2	2
2	2	0	0	0
2	2	1	1	1
2	1	1	1	1
2	2	1	1	1
2	2	2	0	0
2	0	0	1	1
2	2	2	0	0
2	0	0	2	2
2	2	1	1	1
2	1	1	1	1
1	1	1	1	1
2	0	0	0	0
2	1	1	1	1
2	0	0	0	0
2	0	0	0	0
2	1	1	0	0
2	2	1	1	1
2	2	0	0	0
2	0	2	2	2
2	2	1	1	1
2	2	0	0	0
2	2	2	2	0
2	1	1	1	1
2	0	0	0	0
2	2	0	0	0
2	0	0	0	0
2	2	2	1	1
2	2	0	1	1
2	0	0	0	0
2	2	0	0	0
0	0	2	2	2
2	2	2	1	1
2	1	1	1	1
2	1	1	2	2
2	1	1	0	2
2	2	0	0	0
0	0	2	2	2
2	2	1	1	1
2	1	1	1	1
2	1	1	2	2
2	0	0	0	0
2	1	1	1	1
2	2	2	0	0
2	0	0	2	1
2	2	0	0	0
2	1	1	1	1
2	2	1	1	1
2	1	1	1	1
2	1	2	2	2
2	2	0	0	0
0	0	0	2	2
2	2	2	2	2
2	1	1	1	1
2	1	1	1	1
2	2	2	1	1
2	2	0	0	0
2	0	0	0	0
2	0	0	0	0
2	2	2	2	2
2	0	2	1	1
2	2	2	1	2
2	0	0	0	0
2	2	2	1	1
2	1	2	2	2
2	2	0	0	0
0	0	0	0	0
2	0	0	0	0
2	0	0	0	0
2	2	0	2	2
0	0	0	0	0
2	2	2	1	1
2	2	0	0	0
2	2	0	1	1
2	0	0	0	0
2	2	2	0	0
2	1	1	1	1
2	0	0	2	2
2	2	1	2	2
2	2	1	1	1
0	0	0	0	0
2	1	1	1	1
2	2	1	0	0
2	1	1	1	1
2	2	2	2	0
2	1	1	1	1
2	0	2	2	2
2	2	2	2	1
0	0	0	0	0
2	2	2	0	0
2	2	0	0	0
2	0	0	0	0
2	0	0	0	0
1	1	1	1	1
2	2	2	2	2
2	2	0	0	0
2	2	0	0	0
2	1	1	1	1
0	0	0	0	0
0	0	0	0	0
2	1	1	1	1
2	2	2	2	2
2	0	0	2	2
2	1	1	1	0
2	0	0	0	0
2	2	0	0	0
2	1	1	1	1
2	0	0	0	0
2	1	1	1	1
2	2	0	0	0
2	0	0	0	0
2	0	0	0	0
2	2	1	1	1
2	0	2	2	2
0	0	0	0	0
2	1	1	1	1
2	1	1	1	1
2	2	1	1	1
0	0	0	0	0
2	2	2	1	1
2	1	2	0	0
2	1	2	0	0
2	1	2	2	2
2	2	1	1	1
0	0	0	0	0
2	2	0	0	0
2	0	0	0	0
2	2	1	1	2
2	1	1	1	2
2	0	0	2	2
2	1	1	1	1
2	2	2	2	2
2	2	1	1	1
2	0	0	0	0
2	2	2	2	0
2	1	1	1	1
2	2	1	1	1
2	1	1	1	1
2	0	0	0	0
0	0	2	2	2
2	1	1	1	1
2	2	2	2	2
2	2	2	1	1
2	0	0	0	0
2	2	2	2	2
2	1	1	2	2
2	1	1	1	1
2	0	0	0	0
2	1	2	0	0
2	0	0	0	0
2	1	2	2	2
2	2	2	0	0
2	0	0	0	0
1	1	1	1	1
0	0	0	2	2
2	1	1	1	1
2	0	0	2	2
2	1	1	1	1
2	1	1	1	1
2	2	1	1	1
2	2	0	2	1
2	2	0	2	2
2	1	1	1	1
2	0	0	0	0
2	2	2	1	1
1	1	1	1	1
2	2	0	0	0
2	0	0	0	0
2	1	1	1	1
0	0	0	2	2
2	0	0	0	0
2	2	2	2	2
2	0	0	0	0
0	0	0	0	0
2	0	0	0	0
2	0	0	0	0
2	2	1	2	2
2	0	0	0	0
2	2	2	0	0
2	2	1	1	1
0	0	0	0	0
2	2	2	2	2
2	0	2	2	2
2	1	2	0	0
2	2	2	0	2
2	2	1	1	1
2	2	0	0	0
1	1	1	1	1
2	2	2	2	2
2	0	0	0	0
1	1	1	2	0
2	0	0	0	0
2	1	1	1	1
2	2	1	1	1
2	0	0	0	0
0	0	0	2	2
2	0	0	0	0
2	0	0	0	0
2	1	1	1	1
2	0	2	2	2
2	1	1	1	1
2	0	1	1	1
2	1	1	1	1
2	2	2	2	2
2	2	0	0	0
2	2	2	2	2
2	2	1	1	1
1	1	1	1	1
2	2	0	2	0
2	2	2	1	1
2	2	1	1	1
2	0	0	0	0
2	0	0	0	0
2	2	2	2	2
2	2	1	0	0
2	0	0	0	0
2	0	0	0	0
0	0	0	0	0
2	0	0	0	0
2	2	2	2	0
2	1	1	1	1
2	1	1	1	1
2	0	0	0	0
2	1	1	1	1
0	0	0	0	0
2	1	1	1	1
2	0	0	0	0
2	0	2	1	1
0	0	0	0	0
1	1	1	1	1
2	0	0	0	0
2	2	0	0	0
2	2	2	2	2
2	2	2	0	0
2	1	1	1	1
2	1	1	2	2
2	1	1	1	1
1	1	1	1	1
2	0	0	0	0
2	2	1	1	1
2	1	1	2	2
2	1	1	1	1
2	0	0	0	0
2	2	0	0	0
2	2	2	2	2
1	1	1	1	1
2	0	0	0	0
2	2	1	1	1
2	1	1	1	1
0	0	0	0	0
2	1	1	1	0
2	2	1	1	1
2	1	2	0	0
2	2	2	2	2
2	2	0	0	0
2	1	1	1	1
2	2	2	0	0
2	0	1	1	1
2	2	0	2	2
2	2	0	0	0
2	2	2	2	2
2	0	0	0	0
2	2	0	0	0
2	2	1	1	1
0	0	0	0	0
2	1	1	1	1
0	0	0	0	0
2	1	1	1	1
0	2	0	0	0
2	2	0	0	0
0	0	0	0	0
2	0	0	0	0
2	2	2	1	1
2	0	2	2	2
2	0	0	0	0
2	2	2	2	2
2	0	0	0	0
2	2	0	0	0
1	1	1	1	1
2	0	0	0	0
2	0	0	0	0
1	1	1	1	1
2	2	2	2	2
2	2	0	0	0
2	2	2	2	0
2	0	2	1	1
2	2	0	0	0
0	0	0	0	0
2	2	2	2	2
2	1	1	1	1
1	1	1	1	1
2	1	1	1	1
2	2	0	2	2
2	2	2	0	0
2	2	2	2	1
2	1	1	1	1
2	2	1	1	1
2	1	1	1	1
2	1	1	1	1
2	2	1	1	1
2	0	0	0	0
2	2	2	0	0
2	2	1	1	1
2	2	2	2	0
0	0	0	0	0
2	2	1	1	1
2	2	1	1	1
2	1	1	1	1
2	1	0	0	0
2	1	1	1	1
2	2	0	2	2
2	2	0	0	0
2	0	0	0	0
2	1	1	1	1
2	2	2	2	0
2	0	0	0	0
0	0	0	0	0
2	0	0	1	1
2	2	0	0	0
1	1	1	1	1
2	0	0	0	0
2	0	2	0	0
1	1	1	1	1
2	0	0	0	0
2	0	0	0	2
2	1	1	0	0
2	1	1	1	1
2	2	0	0	0
2	2	2	2	2
2	0	0	0	0
2	2	2	0	0
2	0	0	0	0
2	2	0	0	0
2	2	1	0	0
2	2	0	2	1
0	0	0	0	0
2	1	1	1	1
1	1	1	1	1
2	2	0	0	0
2	1	0	0	0
2	2	1	2	2
0	0	2	2	2
0	0	0	0	0
2	1	1	1	1
0	2	2	2	2
2	2	2	2	2
2	2	2	0	0
0	0	0	0	0
2	2	2	0	0
2	0	0	0	0
2	2	1	1	1
2	0	0	0	0
2	2	2	1	1
2	2	2	1	1
2	2	2	2	2
2	2	1	1	1
2	0	0	0	0
1	1	1	1	1
0	0	0	0	0
2	1	1	1	1
2	0	0	0	0
1	1	1	1	1
0	0	0	0	0
2	1	1	1	1
2	1	1	1	1
2	2	1	1	1
2	1	2	2	2
2	2	2	0	0
2	2	2	1	1
0	0	0	0	0
2	1	1	1	1
2	2	0	0	0
2	0	0	0	0
2	2	2	2	2
2	1	1	1	1
2	2	2	2	0
2	2	1	1	1
2	2	1	1	1
1	1	1	1	1
2	2	0	0	0
0	0	2	2	2
2	2	2	0	0
2	2	0	0	0
2	0	0	0	0
2	2	2	2	0
2	2	2	2	2
2	2	1	1	1
2	2	1	1	1
0	0	2	1	1
2	1	1	1	1
2	1	1	1	1
2	2	1	1	1
2	0	0	0	0
2	0	2	2	2
2	1	1	0	0
2	0	0	0	0
2	0	0	0	0
2	2	1	1	1
2	0	0	0	0
2	1	1	1	1
2	1	1	1	1
2	0	0	0	0
2	2	0	0	0
2	1	1	1	1
2	0	0	0	0
2	0	0	0	0
2	0	0	0	0
2	2	1	0	0
2	0	0	0	0
1	1	1	1	1
2	2	2	0	0
2	0	0	0	0
2	2	2	2	2
0	0	0	1	1
0	0	0	0	0
2	1	2	1	1
2	2	2	0	0
2	0	0	2	2
2	2	2	2	2
2	2	2	2	2
2	1	1	1	2
2	1	1	1	1
2	2	0	0	0
2	1	1	1	1
2	0	0	0	0
2	1	1	1	1
2	0	0	0	0
1	1	2	2	0
2	2	2	0	0
2	2	1	1	1
2	2	1	1	1
2	2	2	2	2
1	1	1	1	1
2	2	2	2	2
2	2	1	1	1
2	2	0	0	0
1	1	1	1	1
2	1	1	1	1
2	2	2	2	2
2	2	2	1	0
1	1	1	1	1
2	0	0	0	0
2	0	0	0	0
0	0	0	0	0
2	2	0	0	0
0	0	0	0	0
2	0	0	0	0
2	1	1	1	1
2	2	0	0	0
2	0	0	0	0
2	1	1	2	2
2	2	1	1	1
2	1	2	2	2
2	2	0	0	0
2	2	0	2	2
2	1	1	1	1
2	1	1	1	1
2	0	0	2	2
2	2	0	0	0
2	2	2	2	2
2	0	0	0	0
0	0	0	0	0
2	1	1	2	2
2	2	2	2	2
2	2	1	0	0
2	2	1	1	1
2	1	1	1	1
2	2	2	2	2
2	0	0	0	0
0	0	0	0	0
2	0	0	0	0
2	2	1	1	1
2	2	0	0	0
2	2	0	0	0
2	1	2	0	0
2	2	2	1	1
2	0	0	0	0
2	0	0	0	0
2	2	2	1	1
2	0	0	0	0
2	2	0	0	0
2	1	1	2	2
2	2	2	1	1
2	0	0	0	0
2	0	0	2	1
2	2	2	0	0
2	0	0	0	0
2	0	0	0	0
0	0	0	0	0
2	1	1	1	1
0	0	0	0	0
2	2	2	2	2
2	1	1	1	1
2	1	2	2	2
2	2	0	0	0
2	2	1	1	1
2	2	1	1	1
2	1	1	1	1
2	2	2	0	0
2	1	1	1	1
2	0	0	0	0
2	2	0	0	0
2	1	1	1	0
2	2	2	2	1
2	2	2	2	2
2	0	0	0	0
2	1	1	2	2
2	1	1	1	1
2	2	1	2	2
2	2	2	0	2
2	1	1	1	1
2	1	1	1	1
2	1	1	1	1
2	2	1	1	1
2	2	2	2	2
2	1	1	1	1
2	2	2	2	2
2	1	1	1	2
2	2	0	0	1
2	2	2	2	2
2	2	2	0	0
2	2	2	2	2
0	0	0	0	0
2	2	2	1	1
0	0	0	0	0
2	2	2	2	2
2	0	0	0	0
2	1	1	1	1
2	1	1	1	1
2	1	1	1	1
2	2	2	2	2
2	0	0	0	0
2	1	1	1	1
2	2	2	2	2
2	2	0	0	0
2	2	0	0	0
2	1	1	1	1
2	2	1	1	1
2	1	2	0	0
2	1	1	2	2
2	2	2	1	1
2	1	1	1	1
2	1	1	1	1
2	2	0	0	0
2	0	0	0	0
2	2	2	2	2
2	1	1	0	0
2	2	2	2	0
0	0	0	0	0
2	0	0	0	0
2	2	1	2	2
0	0	0	0	0
2	2	1	1	1
2	2	2	2	2
2	0	0	0	0
2	2	2	2	2
2	1	1	1	1
2	1	1	1	1
2	0	2	0	0
2	0	0	0	0
2	2	0	0	0
2	1	1	1	1
2	2	2	2	2
2	0	0	2	2
2	0	0	0	0
2	0	0	0	0
0	0	0	0	0
2	2	0	0	0
2	2	0	0	0
2	0	0	0	0
2	2	0	0	0
2	0	0	0	0
0	0	0	0	0
2	0	0	0	0
2	2	1	1	1
2	0	2	1	1
1	1	2	2	2
2	0	0	0	0
2	2	2	1	1
2	2	1	1	1
2	1	1	1	1
2	2	2	2	2
2	2	2	0	0
2	1	1	1	1
2	2	1	1	1
2	1	1	1	1
2	2	0	0	0
2	1	2	0	0
2	2	0	0	0
2	2	0	0	0
2	0	0	0	0
0	0	0	0	0
2	2	2	2	2
0	0	0	0	0
2	2	0	0	0
1	1	1	1	1
2	0	0	0	0
0	0	0	0	0
2	2	2	2	1
2	1	1	1	0
2	1	1	0	0
2	2	1	1	1
2	0	0	0	0
2	0	0	0	0
2	2	1	1	1
2	0	0	0	0
2	1	1	1	1
2	2	0	0	2
2	0	0	0	0
2	2	2	2	2
2	1	1	1	1
0	0	0	0	0
2	1	1	1	1
0	0	0	0	0
2	1	1	1	1
2	2	0	0	0
0	0	0	0	0
2	1	1	1	1
1	1	1	1	1
2	1	1	1	1
2	1	1	1	1
2	0	0	0	0
2	2	1	1	1
2	2	1	1	1
2	2	2	2	2
2	1	1	1	1
2	1	2	1	1
2	1	1	1	1
2	2	0	0	0
2	2	0	0	0
2	1	1	1	1
2	0	0	0	0
2	1	1	1	1
2	2	2	2	1
2	2	1	1	1
2	2	1	1	0
2	1	1	1	1
0	0	0	0	0
0	0	0	0	0
2	2	1	1	1
0	0	0	0	0
2	1	1	1	1
0	0	0	0	0
2	0	0	0	0
2	2	1	1	1
2	2	1	1	1
2	2	2	1	1
2	0	0	0	0
2	2	2	1	1
2	2	1	1	2
2	0	0	0	0
2	1	2	0	0
2	1	1	1	1
2	2	2	0	0
2	2	2	2	0
2	1	1	1	1
2	1	1	2	0
2	1	1	1	1
2	2	0	0	0
2	0	2	2	0
2	0	0	0	0
2	0	0	0	0
2	1	1	1	1
2	2	0	2	2
2	2	0	0	0
2	0	0	2	1
2	1	1	1	1
2	1	1	1	1
2	0	0	0	0
2	1	1	1	1
2	1	1	1	1
1	1	1	1	1
2	1	1	1	1
0	0	2	2	2
2	2	2	2	2
2	1	1	1	1
2	2	0	2	2
2	1	1	1	1
2	0	0	1	1
2	2	0	0	0
2	1	1	1	1
2	1	1	1	1
0	0	0	0	0
2	2	2	1	1
2	0	0	0	0
2	1	1	1	1
2	2	2	2	0
2	1	1	1	1
2	0	0	0	0
0	0	0	0	0
2	1	2	2	0
2	0	0	0	0
2	2	1	1	1
2	0	0	0	0
1	1	2	2	2
2	2	0	0	0
2	1	1	1	1
2	1	1	1	1
2	0	0	0	0
2	0	0	1	1
0	0	0	0	0
2	2	2	1	1
2	1	1	1	1
2	0	0	0	0
2	1	2	0	0
2	1	1	1	1
2	1	1	1	1
2	1	1	1	1
2	2	2	1	1
2	1	1	1	1
0	0	0	0	0
2	2	0	0	0
2	1	0	0	0
2	2	1	1	1
2	2	2	1	1
2	1	2	0	0
2	0	0	0	0
2	1	1	1	1
2	2	1	1	1
2	2	0	0	0
2	2	1	1	1
2	1	1	1	1
2	2	2	2	2
0	0	0	0	0
2	2	1	1	1
2	1	1	1	1
2	2	2	1	1
2	2	2	2	2
2	1	2	1	1
2	2	2	2	2
2	1	1	0	0
2	1	1	1	1
2	2	2	0	0
2	0	0	0	0
2	2	0	0	0
2	0	0	0	0
1	1	1	1	1
2	0	0	0	0
2	2	0	0	0
1	2	0	0	0
2	2	2	2	2
2	1	1	1	1
2	2	1	1	1
2	1	1	1	1
2	1	1	1	1
2	2	1	1	1
2	2	1	1	1
2	2	0	0	0
2	2	2	2	1
2	0	0	0	0
2	1	1	1	1
2	0	0	0	0
2	2	1	1	1
2	1	1	1	1
2	1	1	1	1
2	2	1	0	0
2	1	1	1	1
2	2	0	0	0
2	2	2	2	2
2	1	1	2	0
2	2	0	0	0
2	2	2	2	2
2	0	0	2	2
2	2	2	2	2
2	2	0	0	0
2	2	0	2	1
2	0	0	0	0
2	2	0	0	0
2	1	2	2	2
2	1	2	1	1
2	2	2	2	2
2	2	2	0	0
2	0	2	2	2
2	0	1	1	1
2	2	0	0	0
2	2	2	2	2
2	0	0	0	0
0	0	0	0	0
2	2	1	1	1
2	2	0	0	0
2	1	1	1	1
2	1	1	1	1
0	0	0	0	0
2	1	2	0	0
2	1	1	1	1
1	1	1	1	1
2	0	0	0	0
2	0	0	2	2
2	2	2	1	1
2	2	2	0	0
2	2	2	2	2
2	2	0	0	0
2	2	1	1	1
1	1	1	1	1
2	1	1	1	1
2	2	2	0	0
0	0	0	0	0
2	2	2	2	2
2	1	1	2	2
2	0	1	1	1
2	0	0	0	0
2	2	2	2	2
2	0	0	0	0
2	2	2	0	0
2	0	0	0	0
2	2	2	2	2
2	2	2	0	0
2	2	0	0	0
2	2	0	0	0
2	2	1	1	1
2	2	0	0	0
2	2	1	1	1
2	2	2	2	2
2	0	0	0	0
0	0	0	0	0
2	2	2	0	0
2	2	0	0	0
2	2	0	0	0
